H1 RESULTS
depth         ,expanded_nodes         ,max_fringe_size     ,branching factor
7             ,8                      ,8                   ,1.346
9             ,16                     ,13                  ,1.361
17            ,214                    ,142                 ,1.371
9             ,18                     ,14                  ,1.379
11            ,27                     ,23                  ,1.349
7             ,8                      ,8                   ,1.346
5             ,6                      ,7                   ,1.431
5             ,6                      ,7                   ,1.431
7             ,13                     ,14                  ,1.443
3             ,4                      ,6                   ,1.587
5             ,6                      ,7                   ,1.431
7             ,9                      ,10                  ,1.369
5             ,6                      ,7                   ,1.431
15            ,72                     ,53                  ,1.33
1             ,2                      ,3                   ,2.0
1             ,2                      ,3                   ,2.0
7             ,11                     ,11                  ,1.409
3             ,4                      ,6                   ,1.587
7             ,13                     ,14                  ,1.443
9             ,11                     ,11                  ,1.305
7             ,10                     ,11                  ,1.389
7             ,12                     ,11                  ,1.426
11            ,43                     ,29                  ,1.408
13            ,42                     ,31                  ,1.333
5             ,7                      ,7                   ,1.476
5             ,6                      ,7                   ,1.431
13            ,100                    ,68                  ,1.425
13            ,57                     ,42                  ,1.365
7             ,8                      ,8                   ,1.346
7             ,10                     ,11                  ,1.389
9             ,14                     ,14                  ,1.341
13            ,74                     ,51                  ,1.392
9             ,10                     ,7                   ,1.292
9             ,10                     ,9                   ,1.292
5             ,6                      ,7                   ,1.431
9             ,14                     ,12                  ,1.341
7             ,10                     ,11                  ,1.389
7             ,10                     ,11                  ,1.389
5             ,6                      ,7                   ,1.431
3             ,4                      ,6                   ,1.587
13            ,73                     ,51                  ,1.391
11            ,35                     ,27                  ,1.382
7             ,10                     ,11                  ,1.389
7             ,8                      ,8                   ,1.346
7             ,10                     ,11                  ,1.389
11            ,24                     ,19                  ,1.335
9             ,15                     ,12                  ,1.351
7             ,13                     ,12                  ,1.443
11            ,28                     ,18                  ,1.354
13            ,50                     ,34                  ,1.351
11            ,27                     ,21                  ,1.349
7             ,9                      ,8                   ,1.369
